Name,Address,Expertise,Stars,Rating
"Growney Maurice Jr, DDS",West Portal,General Dentistry,5 ,47
Franklin Dental Group,Marina/Cow Hollow,"Endodontists, General Dentistry, Cosmetic Dentists",5 ,12
"Rebecca E Armel, DDS",Union Square,"Cosmetic Dentists, General Dentistry",5 ,47
Mission Dental Group SF,Mission,"Endodontists, Cosmetic Dentists, General Dentistry",5 ,52
All Smiles Dental,West Portal,"General Dentistry, Endodontists, Orthodontists",5 ,452
"Josh Berd, DDS - The Dentist Group",Hayes Valley,"Cosmetic Dentists, General Dentistry, Orthodontists",4.5 ,228
Haight Street Dental,Lower Haight,"General Dentistry, Cosmetic Dentists, Periodontists",4 ,104
Aesthetic Dentistry of Noe Valley,Noe Valley,"Cosmetic Dentists, General Dentistry, Endodontists",4.5 ,109
Pacific Heights Dental Studio,Pacific Heights,"General Dentistry, Cosmetic Dentists, Periodontists",5 ,183
"Garret S Madderra, DDS",Duboce Triangle,"General Dentistry, Cosmetic Dentists, Endodontists",4.5 ,71
Washington Square Park Dental,Russian Hill,"General Dentistry, Cosmetic Dentists, Oral Surgeons",4.5 ,354
Noe Valley Smiles and Braces,Noe Valley,"Orthodontists, Pediatric Dentists, General Dentistry",4.5 ,111
"Elias Qaré, DDS",Mission,General Dentistry,5 ,132
"Anthony Daniel, DDS",The Haight,General Dentistry,4.5 ,73
"Edward L Loev, DMD",Union Square,Dentists,5 ,74
